expense_type,expense_date,expense_amount
Travel,2025-10-24,95200
Insurance,2025-10-27,95300
Insurance,2025-10-30,95400
Miscellaneous,2025-11-02,95500
Food,2025-11-05,95600
Travel,2025-11-08,95700
Rent,2025-11-11,95800
Rent,2025-11-14,95900
Miscellaneous,2025-11-17,96000
Miscellaneous,2025-11-20,96100
Food,2025-11-23,96200
Education,2025-11-26,96300
Education,2025-11-29,96400
Food,2025-12-02,96500
Travel,2025-12-05,96600
Miscellaneous,2025-12-08,96700
Travel,2025-12-11,96800
Miscellaneous,2025-12-14,96900
Insurance,2025-12-17,97000
Education,2025-12-20,97100
Travel,2025-12-23,97200
Education,2025-12-26,97300
Education,2025-12-29,97400
Rent,2026-01-01,97500
Education,2026-01-04,97600
Food,2026-01-07,97700
Entertainment,2026-01-10,97800
Food,2026-01-13,97900
Education,2026-01-16,98000
Food,2026-01-19,98100
Utilities,2026-01-22,98200
Travel,2026-01-25,98300
Utilities,2026-01-28,98400
Food,2026-01-31,98500
Food,2026-02-03,98600
Food,2026-02-06,98700
Entertainment,2026-02-09,98800
Insurance,2026-02-12,98900
Travel,2026-02-15,99000
Rent,2026-02-18,99100
Food,2026-02-21,99200
Food,2026-02-24,99300
Entertainment,2026-02-27,99400
Miscellaneous,2026-03-02,99500
Utilities,2026-03-05,99600
Food,2026-03-08,99700
Utilities,2026-03-11,99800
Utilities,2026-03-14,99900
Education,2026-03-17,100000
